[2026-08-30T17:43:51.518Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-08-30T17:43:51.527Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-08-30T17:43:51.527Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-08-30T17:43:51.528Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-08-30T17:43:51.528Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-08-30T17:43:51.528Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-08-30T17:43:51.529Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-08-30T17:43:51.530Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-08-30T17:43:51.530Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-08-30T17:43:51.577Z] [INFO] Daemon started (PID: 13012, CPUs: 4, workers: 7, maxCpuLoad: 3.2, minFreeMemoryPercent: 10%)
[2026-08-30T17:43:51.612Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-30T17:43:51.614Z] [INFO] Worker map completed in 35ms
[2026-08-30T17:45:51.581Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-30T17:45:51.590Z] [INFO] Worker audit completed in 49ms
[2026-08-30T17:47:51.567Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-08-30T17:47:51.569Z] [INFO] Worker optimize completed in 41ms
[2026-08-30T17:49:51.572Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-08-30T17:49:51.573Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-08-30T17:49:51.574Z] [INFO] Worker consolidate completed in 30ms
[2026-08-30T17:51:51.580Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-08-30T17:51:51.581Z] [INFO] Worker testgaps completed in 36ms
[2026-08-30T17:53:51.562Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-08-30T17:53:51.565Z] [INFO] Worker backup completed in 27ms
[2026-08-30T17:55:51.559Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-08-30T17:55:51.811Z] [INFO] Worker harness completed in 274ms
[2026-08-30T17:55:51.859Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-08-30T17:55:51.860Z] [INFO] Worker audit completed in 29ms
[2026-08-30T17:58:51.669Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-08-30T17:58:51.671Z] [INFO] Worker map completed in 26ms
